id,title,completed,created_at
task-001,"Buy groceries for dinner party",false,2025-10-10T10:30:00
task-002,"Submit COMP2850 Lab 6 worksheet",true,2025-10-10T11:15:00
task-003,"Book dentist appointment",false,2025-10-10T14:20:00
task-004,"Review pull request for team project",true,2025-10-11T09:00:00
task-005,"Prepare presentation slides for Monday",false,2025-10-11T10:45:00
task-006,"Call mum about weekend plans",false,2025-10-11T12:00:00
task-007,"Fix broken test in CI pipeline",true,2025-10-11T15:30:00
task-008,"Read Chapter 5 of HCI textbook",false,2025-10-12T08:00:00
task-009,"Schedule meeting with supervisor",false,2025-10-12T09:15:00
task-010,"Update CV with recent projects",false,2025-10-12T11:00:00
task-011,"Reply to group chat about assignment",true,2025-10-12T13:45:00
task-012,"Organize desk and filing system",false,2025-10-13T10:00:00
task-013,"Research accessibility testing tools",true,2025-10-13T11:30:00
task-014,"Draft blog post about HTMX",false,2025-10-13T14:00:00
task-015,"Practice keyboard shortcuts for IDE",false,2025-10-13T16:20:00
task-016,"Renew library books before due date",false,2025-10-14T09:00:00
task-017,"Complete Week 7 accessibility audit",true,2025-10-14T10:30:00
task-018,"Buy birthday card for flatmate",false,2025-10-14T13:15:00
task-019,"Test application with NVDA screen reader",true,2025-10-14T15:00:00
task-020,"Reply to supervisor email about meeting",false,2025-10-15T08:30:00
task-021,"Backup project files to cloud storage",false,2025-10-15T11:00:00
task-022,"Review WCAG 2.2 success criteria",true,2025-10-15T14:20:00
task-023,"Plan meals for next week",false,2025-10-15T17:00:00
task-024,"Debug pagination logic in task list",false,2025-10-16T09:30:00
task-025,"Attend lab session on Thursday",true,2025-10-16T11:00:00
task-026,"Write unit tests for validation function",false,2025-10-16T13:45:00
task-027,"Clean kitchen after dinner",true,2025-10-16T19:00:00
task-028,"Research Progressive Enhancement patterns",false,2025-10-17T08:00:00
task-029,"Submit ethics consent forms",true,2025-10-17T10:15:00
task-030,"Order new laptop charger",false,2025-10-17T12:30:00
task-031,"Review Pebble template documentation",false,2025-10-17T14:00:00
task-032,"Prepare questions for supervisor meeting",true,2025-10-18T09:00:00
task-033,"Test keyboard navigation on all pages",false,2025-10-18T11:30:00
task-034,"Update project README with setup instructions",true,2025-10-18T13:00:00
task-035,"Buy train tickets for weekend trip",false,2025-10-18T15:45:00
task-036,"Review and merge team pull requests",false,2025-10-19T08:30:00
task-037,"Complete pilot study protocol draft",true,2025-10-19T10:00:00
task-038,"Tidy bedroom and vacuum floor",false,2025-10-19T14:00:00
task-039,"Install axe DevTools browser extension",true,2025-10-19T16:20:00
task-040,"Read article on server-first architecture",false,2025-10-20T09:15:00
task-041,"Create backlog items from pilot findings",true,2025-10-20T11:00:00
task-042,"Pay rent for November",false,2025-10-20T13:30:00
task-043,"Implement inline edit feature for tasks",false,2025-10-20T15:00:00
task-044,"Test no-JS mode in Firefox",true,2025-10-21T08:00:00
task-045,"Write self-reflection for portfolio",false,2025-10-21T10:30:00
task-046,"Check ARIA live region announcements",true,2025-10-21T12:45:00
task-047,"Schedule haircut appointment",false,2025-10-21T14:15:00
task-048,"Review prioritisation matrix template",false,2025-10-21T16:00:00
task-049,"Add focus indicators to custom buttons",true,2025-10-22T09:30:00
task-050,"Prepare evidence pack for Task 2 submission",false,2025-10-22T11:00:00
